=== Stock Screener — 2026-06-24 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2774 stocks with market cap > $1B
  Top 5 by daily gain: MAAS(+19.0%), EPC(+15.4%), QNT(+13.5%), JBIO(+13.0%), LILA(+12.7%)
  S&P 500 loaded: 503 tickers
Screening 2774 stocks...
  Priority tier: 902 (top 500 movers + 402 S&P 500)
  Remaining: 1872

  === Priority Tier ===
  Priority: 300/902 (177 passed, 0 errors)
  Priority: 600/902 (239 passed, 186 errors)
  Priority: 900/902 (239 passed, 486 errors)
  Priority: 902/902 (239 passed, 488 errors)

  Retrying 488 priority tickers...
  After priority retry: 239 passed

  === Remaining Tier ===
  Remaining: 300/1872 (239 total passed)
  Remaining: 600/1872 (239 total passed)
  Remaining: 900/1872 (239 total passed)
  Remaining: 1200/1872 (239 total passed)
  Remaining: 1500/1872 (239 total passed)
  Remaining: 1800/1872 (239 total passed)
  Remaining: 1872/1872 (239 total passed)

  Final: 239 stocks passed all filters

================================================================================
  239 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
84     HMN   50.74  -0.01   4.18       2.0      Financial Services           Insurance - Property & Casualty        9.42  75.3  Bull       0.30    7.90       0.02      47.8    4.33
85    INDV   40.58   4.05   6.76       4.8              Healthcare  Drug Manufacturers - Specialty & Generic       10.61  69.2  Bull       0.22    7.32       0.02      47.8    4.71
86     NVO   47.38   0.10   8.79     209.7              Healthcare              Drug Manufacturers - General        8.89  65.4  Bull       0.40    7.22       0.13      47.8    3.64
87    PZZA   35.74   0.99   9.33       1.2       Consumer Cyclical                               Restaurants        5.80  58.9  Bull       0.42    9.30       0.07      47.8    3.57
88     PGR  216.21   0.30   5.64     125.9      Financial Services           Insurance - Property & Casualty        7.00  71.2  Bull       1.69    8.77       0.05      47.7    3.40
89    STGW    7.13   0.42   3.94       1.8  Communication Services                      Advertising Agencies        8.89  61.3  Bull       0.04    7.87       0.03      47.6     NaN
90     USB   59.93  -0.44   1.77      93.4      Financial Services                          Banks - Regional        7.07  65.9  Bull       0.36    8.53       0.04      47.4    3.86
91     CRI   43.27   1.84   5.28       1.6       Consumer Cyclical                            Apparel Retail       12.60  64.9  Bull       0.17   12.68       0.01      47.3    3.43
92     THG  207.91  -1.04   4.37       7.3      Financial Services           Insurance - Property & Casualty        9.41  73.3  Bull       1.25    6.66       0.04      46.7    3.62
93     CNA   47.11   0.40   3.47      12.7      Financial Services           Insurance - Property & Casualty        5.28  66.8  Bull       0.41    7.73       0.02      45.5     NaN
94    INVA   24.17   2.72   6.90       1.8              Healthcare                             Biotechnology        6.92  67.3  Bull       0.19    6.57       0.03      45.2    4.00
95    TBBK   59.89   1.22   6.97       2.5      Financial Services                          Banks - Regional        6.11  65.9  Bull       0.58    6.93       0.01      45.1     NaN
96     AXS  105.75   0.03   2.92       7.8      Financial Services                     Insurance - Specialty        5.59  65.6  Bull       0.86    6.84       0.02      44.8    4.17
97     NEO   11.90   3.61  13.49       1.6              Healthcare                    Diagnostics & Research       19.09  68.0  Bull       0.01   28.43       0.07      44.6    4.17
98    ECPG   86.09   0.22   3.75       1.8      Financial Services                           Credit Services        7.72  66.2  Bull       0.52    5.57       0.02      44.6    4.25
99    CINF  175.98   0.10   3.00      27.2      Financial Services           Insurance - Property & Casualty        6.76  71.5  Bull       1.26    5.93       0.03      44.5    3.88
100    MCY  106.48   0.00   3.77       5.9      Financial Services           Insurance - Property & Casualty        7.89  67.5  Bull       0.54    5.17       0.03      44.4     NaN
101   GHRS   23.68   2.34  18.52       1.6              Healthcare                             Biotechnology       13.81  60.9  Bull       0.13    2.29       0.03      44.4     NaN
102    SBH   13.69   0.81   2.32       1.3       Consumer Cyclical                          Specialty Retail        2.44  55.5  Bull       0.09    7.80       0.01      44.1    3.60
103    RDY   14.38   0.45   8.08      12.0              Healthcare  Drug Manufacturers - Specialty & Generic        6.46  69.4  Bull       0.12    4.55       0.15      44.1    3.40
104     NP   29.89  -1.48   7.02       4.1      Financial Services                         Insurance Brokers       11.19  63.4  Bull       0.39    3.28       0.01      44.0    4.00
105    WCN  163.21   4.44   3.91      41.5             Industrials                          Waste Management        3.89  63.4  Bull       0.86    6.20       0.05      43.6    4.50
106   FULT   23.68   0.08   2.51       4.5      Financial Services                          Banks - Regional        7.99  67.7  Bull       0.10    8.77       0.05      43.2    3.71
107    BRO   60.98   0.96   2.14      20.7      Financial Services                         Insurance Brokers        1.01  58.4  Bull       0.36    7.00       0.05      43.0    3.42
108    KMB  105.64   1.95   1.30      35.1      Consumer Defensive             Household & Personal Products        6.81  64.1  Bull       0.46    8.42       0.05      42.6    3.44
109    UVE   40.06  -1.72   6.26       1.1      Financial Services           Insurance - Property & Casualty        7.05  64.3  Bull       0.30    3.62       0.03      42.4     NaN
110    AGM  191.00   0.53   3.80       2.1      Financial Services                           Credit Services        9.03  67.5  Bull       0.80    7.63       0.10      42.2     NaN
111    JAN   27.57   1.94   8.65       5.8             Real Estate                        REIT - Residential        7.50  67.3  Bull       0.22    3.11       0.02      42.0    4.36
112    GIS   35.06   1.00   1.90      18.7      Consumer Defensive                            Packaged Foods        1.04  60.1  Bull       0.19    5.71       0.07      41.8    2.90
113   AMAL   45.53   0.39   3.51       1.4      Financial Services                          Banks - Regional        8.35  66.3  Bull       0.19    8.42       0.04      41.6     NaN
114   AROC   38.41  -2.04   7.44       6.7                  Energy            Oil & Gas Equipment & Services        6.42  61.2  Bull       0.44    2.59       0.07      41.4    4.62
115   COLL   35.34   2.08   1.99       1.1              Healthcare  Drug Manufacturers - Specialty & Generic        2.21  58.1  Bull       0.19    4.62       0.03      41.0     NaN
116   FTRE   17.18   3.84   7.54       1.6              Healthcare                             Biotechnology       19.54  63.9  Bear      -0.10   29.99       0.12      40.8     NaN
117   SRRK   51.76   0.94  13.62       6.2              Healthcare                             Biotechnology        9.62  65.6  Bull       0.77    0.50       0.06      40.8    4.83
118   SPNT   23.76   0.53   2.08       2.8      Financial Services                   Insurance - Reinsurance        5.09  60.9  Bull       0.16    2.79       0.05      40.8     NaN
119    AEP  134.30   0.22   3.51      73.1               Utilities            Utilities - Regulated Electric        3.65  62.9  Bull       0.77    2.60       0.11      40.4    4.04
120    AVO   12.15   2.49   4.88       1.1      Consumer Defensive                         Food Distribution        0.67  57.3  Bull       0.20    4.25       0.08      40.3    5.00
121     AX   91.89   0.54   2.76       5.2      Financial Services                          Banks - Regional        3.55  62.4  Bull       0.43    4.63       0.02      39.6    4.50
122   ASTH   41.67  -0.76   8.57       2.1              Healthcare                   Medical Care Facilities       15.35  70.7  Bull       0.14    8.12       0.04      39.3     NaN
123     HG   32.28  -0.28   1.77       3.2      Financial Services                   Insurance - Reinsurance        4.45  60.3  Bull       0.18    1.99       0.02      39.3    3.71
124   PLMR  117.75  -0.20   3.23       3.1      Financial Services           Insurance - Property & Casualty        2.48  59.3  Bull       1.10    2.83       0.03      39.3    4.38
125   GSHD   41.13   2.61   9.84       1.5      Financial Services                         Insurance Brokers        1.80  56.9  Bull       0.70    2.84       0.02      38.9    3.62
126    GNW    9.16  -0.05   2.29       3.5      Financial Services                          Insurance - Life        3.74  61.7  Bull       0.05    1.50       0.03      38.6     NaN
127    ABT   92.53   2.50   2.11     161.2              Healthcare                           Medical Devices        1.13  59.4  Bull       0.41    6.76       0.05      38.5    4.33
128     SE   90.94  -1.03   4.76      55.7       Consumer Cyclical                           Internet Retail        1.88  53.9  Bull       0.47    2.16       0.05      38.5    4.69
129   ASND  240.68   2.90   4.10      15.8              Healthcare                             Biotechnology        5.20  61.1  Bull       2.91    0.43       0.01      38.2    4.78
130   CASH   85.44   0.54   2.57       1.8      Financial Services                          Banks - Regional        1.36  57.6  Bull       0.67    1.91       0.02      37.7     NaN
131    STC   68.01   0.27   2.91       2.1      Financial Services           Insurance - Property & Casualty        3.09  59.3  Bull       0.41    0.80       0.01      37.4    4.33
132   WELL  217.45  -0.68   1.85     153.5             Real Estate              REIT - Healthcare Facilities        3.89  58.2  Bull       1.15   -0.31       0.05      37.3    4.38
133    TEN   40.62  -0.40   5.44       1.2                  Energy                       Oil & Gas Midstream        4.17  57.6  Bull       0.44   -3.11       0.03      37.3     NaN
134    BOH   81.04  -0.17   2.32       3.2      Financial Services                          Banks - Regional        4.75  61.4  Bull       0.35    4.28       0.03      37.1     NaN
135   FSUN   37.35   0.81   3.49       1.7      Financial Services                          Banks - Regional        2.91  59.9  Bull       0.17    4.39       0.00      36.8     NaN
136    NHI   75.59   0.24   5.54       3.7             Real Estate              REIT - Healthcare Facilities        0.91  58.6  Bull       0.59   -0.81       0.16      36.8    4.25
137   SION   39.88   0.35  14.76       1.8              Healthcare                             Biotechnology        2.87  55.6  Bull       0.56   -7.00       0.02      36.6    4.45
138   ACIW   46.03   0.95   1.15       4.7              Technology                 Software - Infrastructure        6.19  59.8  Bull       0.16    8.68       0.02      36.4    4.50
139     UL   59.70   0.78   1.15     128.6      Consumer Defensive             Household & Personal Products        2.43  59.8  Bull       0.25    4.61       0.09      36.1     NaN
140   SAFT   73.06   0.44   3.09       1.1      Financial Services           Insurance - Property & Casualty        1.91  61.8  Bull       0.34    2.44       0.02      36.1     NaN
141    RAL   70.99   2.56   3.24       7.9              Technology                     Electronic Components       21.15  74.6  Bull       0.11   14.48       0.04      36.0    3.92
142   SLDE   17.77   1.66   5.09       2.0      Financial Services           Insurance - Property & Casualty        0.54  54.9  Bull       0.13   -4.51       0.06      35.8     NaN
143    LOB   40.07  -1.47   3.71       1.9      Financial Services                          Banks - Regional        6.93  64.1  Bull       0.15    5.96       0.07      35.8     NaN
144    RTX  187.30   0.68   0.28     252.2             Industrials                       Aerospace & Defense        2.43  56.6  Bull       0.78    4.65       0.03      35.4    4.13
145      L  111.39   0.35   2.52      22.9      Financial Services           Insurance - Property & Casualty        3.48  64.2  Bull       0.50    2.17       0.03      35.4     NaN
146    AHR   48.70   0.06   3.90      10.1             Real Estate              REIT - Healthcare Facilities        0.40  54.6  Bull       0.28   -4.51       0.01      35.3    4.62
147    NVS  154.36   1.64   2.27     294.5              Healthcare              Drug Manufacturers - General        3.14  58.8  Bull       0.41    2.36       1.49      34.8    3.25
148    MCB   97.96   0.93   2.16       1.2      Financial Services                          Banks - Regional        7.82  65.1  Bull       0.33    7.24       0.04      34.7     NaN
149   KNTK   47.64  -1.87   4.93       8.0                  Energy                       Oil & Gas Midstream        1.46  52.7  Bull       0.23   -2.89       0.02      34.7    4.20
150   CVBF   21.70   0.70   2.17       3.8      Financial Services                          Banks - Regional        6.11  63.7  Bull       0.08    4.48       0.06      34.1    3.33
151   KVUE   18.63   1.53   1.09      35.8      Consumer Defensive             Household & Personal Products        5.68  64.4  Bull       0.06    6.52       0.04      32.8     NaN
152   QGEN   38.44   2.13   3.28       7.9              Healthcare                    Diagnostics & Research        2.98  60.6  Bull       0.12    8.16       0.10      32.7    3.93
153   ATEX   77.88  -3.53   0.32       1.5  Communication Services                          Telecom Services       26.28  63.5  Bear      -0.09   22.20       0.03      32.5    4.00
154    WRB   69.35   0.51   2.35      25.8      Financial Services           Insurance - Property & Casualty        4.07  62.4  Bull       0.26    3.93       0.05      32.1    2.78
155    VTR   85.54  -0.24   1.97      41.6             Real Estate              REIT - Healthcare Facilities        1.42  54.7  Bull       0.38   -3.20       0.03      32.0    4.45
156     LW   45.67   1.72   1.29       6.3      Consumer Defensive                            Packaged Foods        5.23  59.6  Bull       0.13    8.43       0.02      31.8    3.50
