=== Stock Screener — 2026-06-11 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2755 stocks with market cap > $1B
  Top 5 by daily gain: PBLS(+58.0%), FAC(+37.1%), FRMI(+22.6%), CASY(+20.3%), PLBL(+16.4%)
Screening 2755 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2455

  === Priority Tier ===
  Priority: 300/300 (167 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2455 (221 total passed)
  Remaining: 600/2455 (221 total passed)
  Remaining: 900/2455 (221 total passed)
  Remaining: 1200/2455 (221 total passed)
  Remaining: 1500/2455 (221 total passed)
  Remaining: 1800/2455 (221 total passed)
  Remaining: 2100/2455 (221 total passed)
  Remaining: 2400/2455 (221 total passed)
  Remaining: 2455/2455 (221 total passed)

  Final: 221 stocks passed all filters

================================================================================
  221 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
135    AXS  100.02   0.14   4.91       7.4      Financial Services                     Insurance - Specialty        1.06  55.7  Bull       0.43    2.84       0.02      33.4    4.17
136   CDNA   23.31  -1.94   0.82       1.2              Healthcare                    Diagnostics & Research       10.54  61.7  Bull       0.05   13.10       0.03      33.1    3.86
137    PRM   34.55   1.89  13.28       5.6         Basic Materials                       Specialty Chemicals       14.24  65.2  Bull       0.11    1.89       0.06      31.9     NaN
138   SGHC   13.95   3.06   7.02       7.1       Consumer Cyclical                                  Gambling       11.32  65.0  Bull       0.04    6.93       0.15      31.7    4.75
139    PRI  280.64   6.67   8.83       8.8      Financial Services                          Insurance - Life        4.46  59.8  Bull       0.90    5.52       0.04      30.6    3.57
140     KO   83.42  -0.81   8.59     358.9      Consumer Defensive                 Beverages - Non-Alcoholic        5.68  64.8  Bull       0.27    3.94       0.07      30.2    4.25
141   LQDA   67.76   2.06   8.35       6.0              Healthcare  Drug Manufacturers - Specialty & Generic       30.82  73.0  Bull       0.01   17.67       0.17      30.1    4.88
142   CINF  168.26   1.10   4.73      26.0      Financial Services           Insurance - Property & Casualty        3.11  60.5  Bull       0.59    3.06       0.07      29.6    3.71
143   ALRM   45.18  -3.19   0.42       2.2              Technology                    Software - Application        0.24  51.9  Bull       0.14    6.71       0.04      29.5     NaN
144    RCI   38.71   2.27   2.74      20.9  Communication Services                          Telecom Services        5.49  64.8  Bull       0.10    8.26       0.02      29.4     NaN
145   BANR   66.70   0.08   3.23       2.3      Financial Services                          Banks - Regional        3.99  59.7  Bull       0.20    5.44       0.05      29.0     NaN
146   SPHR  144.29   2.04   1.48       5.2  Communication Services                             Entertainment        8.90  59.4  Bull       0.30    9.48       0.04      28.9    4.58
147   PRSU   46.53   0.38   5.19       1.3       Consumer Cyclical                           Travel Services        9.92  68.2  Bull       0.08   10.27       0.01      27.4    5.00
148   MDLZ   64.16  -0.22   5.20      82.4      Consumer Defensive                             Confectioners        5.99  67.8  Bull       0.17    4.29       0.04      26.6    4.08
149   CVSA  130.24  -0.20   4.66       4.4      Consumer Defensive             Education & Training Services        8.33  63.3  Bull       0.39    1.12       0.02      26.2    4.75
150     FG   28.73  -1.64   5.74       3.8      Financial Services                          Insurance - Life        5.06  58.2  Bull       0.09    2.28       0.01      26.1     NaN
151    CON   26.98   0.87   8.27       3.5              Healthcare                   Medical Care Facilities       10.93  71.4  Bull       0.06    4.54       0.05      25.9    4.75
152    VLO  260.93  -0.37   0.80      77.5                  Energy            Oil & Gas Refining & Marketing        6.97  59.2  Bull       0.54    7.40       0.03      25.6    3.60
153    KHC   24.05   0.17   8.95      28.5      Consumer Defensive                            Packaged Foods        5.18  61.9  Bull       0.06    5.61       0.03      25.4    2.80
154    PRU  106.06   1.74   2.65      36.8      Financial Services                          Insurance - Life        5.58  65.7  Bull       0.25    5.01       0.06      24.9    2.82
155    THG  199.19  -0.40   6.52       7.0      Financial Services           Insurance - Property & Casualty        6.69  65.5  Bull       0.45    5.22       0.03      24.6    3.62
156   BWLP   22.15   2.93   8.93       3.4                  Energy                       Oil & Gas Midstream       12.17  66.6  Bull       0.03    8.61       0.10      24.4     NaN
157    DKL   53.01   0.09   1.30       2.8                  Energy            Oil & Gas Refining & Marketing        3.89  59.0  Bull       0.13    3.94       0.10      24.2     NaN
158    VOD   15.16   2.57   2.27      34.9  Communication Services                          Telecom Services        1.67  55.2  Bull       0.05   -0.43       0.11      24.1    1.75
159    CVX  191.77   0.11   1.82     381.9                  Energy                      Oil & Gas Integrated        2.31  56.4  Bull       0.48    4.05       0.05      23.1    4.16
160    COP  119.88  -1.26   0.55     146.0                  Energy                             Oil & Gas E&P        0.93  52.2  Bull       0.34    2.11       0.04      22.7    4.15
161    KRP   15.65  -0.73   1.33       1.7                  Energy                             Oil & Gas E&P        6.31  63.0  Bull       0.03    4.90       0.02      21.9    4.17
