Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
BBAR,17.69,1.09,18.41,3.6,Financial Services,Banks - Regional,14.69,63.1,Bull,0.35,24.4,0.04,67.1,
BLFS,24.98,1.94,4.06,1.2,Healthcare,Medical Instruments & Supplies,13.78,67.3,Bull,0.27,24.94,0.02,67.0,4.9
VAC,83.29,-0.98,13.89,2.9,Consumer Cyclical,Resorts & Casinos,17.03,67.6,Bull,1.03,22.96,0.01,66.6,3.36
RNW,6.22,0.89,12.16,2.3,Utilities,Utilities - Renewable,14.91,72.8,Bull,0.07,22.78,0.15,66.5,4.5
DAL,81.05,-0.92,9.35,53.2,Industrials,Airlines,14.73,70.7,Bull,1.05,22.63,0.07,65.6,4.69
PRMB,24.43,-0.35,8.31,8.9,Consumer Defensive,Beverages - Non-Alcoholic,14.41,69.0,Bull,0.11,26.61,0.01,65.2,4.31
QFIN,15.28,-2.92,21.66,1.9,Financial Services,Credit Services,14.55,64.2,Bull,0.22,21.08,0.22,65.2,4.46
YSS,35.4,0.82,36.93,4.6,Industrials,Aerospace & Defense,16.22,58.2,Bull,0.54,21.05,0.07,64.8,4.22
POWI,82.93,-4.57,19.96,4.6,Technology,Semiconductors,26.44,65.8,Bull,0.76,19.0,0.07,64.6,
CROX,119.46,0.9,16.08,5.9,Consumer Cyclical,Footwear & Accessories,19.59,74.6,Bull,1.86,19.29,0.03,64.3,
YPF,52.85,2.44,12.28,22.3,Energy,Oil & Gas Integrated,19.77,75.4,Bull,0.71,17.94,0.06,63.3,4.23
YETI,46.82,-0.32,4.81,3.5,Consumer Cyclical,Leisure,12.95,67.2,Bull,0.57,21.52,0.02,63.2,4.0
MICC,16.22,-0.67,0.5,9.9,Consumer Defensive,Packaged Foods,7.02,59.4,Bull,0.09,24.2,0.02,62.9,3.0
VVX,79.33,2.59,10.66,2.5,Industrials,Aerospace & Defense,13.0,71.0,Bull,0.76,20.91,0.04,62.8,3.83
BOBS,13.31,-1.77,11.19,1.7,Consumer Cyclical,Specialty Retail,4.79,58.9,Bull,0.21,25.33,0.01,62.8,4.38
FICO,1270.0,-0.66,3.23,29.5,Technology,Software - Application,9.87,70.7,Bull,19.3,21.7,0.06,62.1,4.1
DLTR,110.89,15.67,18.62,21.6,Consumer Defensive,Discount Stores,9.97,69.2,Bull,2.04,15.87,0.74,62.0,3.3
LINE,43.06,-0.71,8.3,10.8,Real Estate,REIT - Industrial,13.52,68.8,Bull,0.37,19.64,0.02,61.6,3.25
AOSL,46.28,-5.28,13.99,1.4,Technology,Semiconductors,28.9,61.2,Bull,0.3,15.53,0.12,61.5,
NOW,107.49,5.26,4.06,110.9,Technology,Software - Application,7.5,62.4,Bull,1.62,20.92,0.2,61.4,4.56
NEU,786.22,0.91,11.0,7.2,Basic Materials,Specialty Chemicals,15.03,81.7,Bull,8.68,17.56,0.13,61.2,
ATLC,88.25,-1.95,7.89,1.3,Financial Services,Credit Services,20.55,66.8,Bull,0.44,15.08,0.11,61.0,4.8
BMA,86.34,1.27,19.73,5.5,Financial Services,Banks - Regional,13.57,66.6,Bull,1.7,18.41,0.06,60.7,4.56
ARE,50.07,0.28,4.66,8.7,Real Estate,REIT - Office,6.73,63.6,Bull,0.54,21.97,0.02,60.5,3.19
